title,overview,genre_id,media_type,tmdb_id,poster_path,platform_ids,vote_average,popularity,release_date,platforms
Kuroko's Basketball,"In the story, Kagami Taiga has just enrolled into Seirin High School when he meets Kuroko Tetsuya of the school's basketball team. Kuroko happens to be the shadowy sixth member of the legendary Generation of Miracles basketball team. Together, Kagami and Kuroko aim to take their team to the inter-high school championship - against Kuroko's former teammates.",16,tv,45783,/qi8dlAgQEeahpEn1AOb5BJEOcVB.jpg,[8],8.475,35.4684,,['Netflix']
BEASTARS,"In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst.",16,tv,90937,/sh9iNWkleOjEHRHj8WPHhmMi8HL.jpg,[8],8.473,15.1282,,['Netflix']
She-Ra and the Princesses of Power,"In this reboot of the '80s series, a magic sword transforms an orphan girl into warrior She-Ra, who unites a rebellion to fight against evil.",16,tv,79732,/y6YLtlnV5FGh3Mhs5SUc80IQSV5.jpg,[8],8.473,20.8713,,['Netflix']
The Quintessential Quintuplets,"Fuutarou Uesugi is a poor, antisocial ace student who one day meets the rich transfer student Itsuki Nakano. They argue but when Uesugi realizes he is to be her tutor, he tries to get on better terms. While trying to do so he meets four other girls.",16,tv,84669,/mrahUSmFjae8UHtlOcZ58ytmAGu.jpg,[8],8.5,10.8462,,['Netflix']
Romantic Killer,"Living her best single life, romance is the last thing on Anzu's mind — until a tiny match-making wizard suddenly turns her life into a clichéd romcom.",16,tv,208730,/ocCtP4MdXE0keyfmrt6X4JRbhmy.jpg,[8],8.431,4.2341,,['Netflix']
From Me to You: Kimi ni Todoke,"Nicknamed ""Sadako"" for her spooky appearance, high schooler Sawako begins to break out of her shell when she befriends popular boy Kazehaya.",16,tv,68854,/kka0aBfSmhxYopCW0FzDWzljRhG.jpg,[8],8.412,12.2919,,['Netflix']
My Happy Marriage,"Miyo's abusive family deems her worthless – but together with her powerful husband-to-be, her true self and hidden powers slowly begin to shine.",16,tv,196944,/5RZIBqSYHhpQF6s8Dgw2aXlA4ZS.jpg,[8],8.4,21.2148,,['Netflix']
The Way of the Househusband,"After disappearing from the underworld, the legendary yakuza known as the ""Immortal Dragon"" resurfaces — as a fiercely devoted stay-at-home husband.",16,tv,112160,/p63rAZt0s8kedJtdxGwD5VYZafc.jpg,[8],8.401,4.7181,,['Netflix']
Great Teacher Onizuka,"About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever.",16,tv,43017,/cgcvNzLUQUjkur8zfhHwcadwzVz.jpg,[8],8.392,11.3644,,['Netflix']
Tear Along the Dotted Line,A cartoonist in Rome with his armadillo-for-a-conscience reflects on his path in life and a would-be love as he and his friends travel outside the city.,16,tv,135918,/jD8abZSQ9zMOsqr1M7zButnzCuz.jpg,[8],8.387,2.5716,,['Netflix']
